Cereals-and-bakery-products,"Meats,-poultry,-fish,-and-eggs",Dairy-and-related-products,Fruits-and-vegetables,Other-food-at-home,Date
102.2,103.7,100.3,106.9,102.0,1984-02-01
102.6,102.4,100.3,107.6,102.4,1984-03-01
103.1,102.8,100.6,105.0,102.8,1984-04-01
103.3,101.3,100.4,103.3,102.7,1984-05-01
103.8,100.3,100.7,105.9,103.1,1984-06-01
104.4,100.5,100.9,106.5,103.4,1984-07-01
104.8,100.9,101.1,109.1,103.6,1984-08-01
104.8,100.5,101.9,106.4,104.0,1984-09-01
105.1,100.1,102.4,106.0,104.3,1984-10-01
105.2,99.7,102.9,104.8,103.9,1984-11-01
105.8,101.0,103.3,103.1,103.8,1984-12-01
