item,City,Latitude,Longitude,Year,2005
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2015,334
Transportation,Chicago,41.8781 N,87.6298 W,2015,9908
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2016,491
Apparel and services,Chicago,41.8781 N,87.6298 W,2016,2169
Cash contributions,Chicago,41.8781 N,87.6298 W,2016,1472
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2016,556
Dairy products,Chicago,41.8781 N,87.6298 W,2016,458
Education,Chicago,41.8781 N,87.6298 W,2016,1531
Entertainment,Chicago,41.8781 N,87.6298 W,2016,3484
Food away from home,Chicago,41.8781 N,87.6298 W,2016,3626
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2016,967
Healthcare,Chicago,41.8781 N,87.6298 W,2016,4776
Housing,Chicago,41.8781 N,87.6298 W,2016,21644
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2016,947
Miscellaneous,Chicago,41.8781 N,87.6298 W,2016,807
Other food at home,Chicago,41.8781 N,87.6298 W,2016,1562
Personal care products and services,Chicago,41.8781 N,87.6298 W,2016,756
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2016,6955
Reading,Chicago,41.8781 N,87.6298 W,2016,116
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2016,310
Transportation,Chicago,41.8781 N,87.6298 W,2016,9021
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2017,509
Apparel and services,Chicago,41.8781 N,87.6298 W,2017,1987
Cash contributions,Chicago,41.8781 N,87.6298 W,2017,1685
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2017,539
Dairy products,Chicago,41.8781 N,87.6298 W,2017,453
Education,Chicago,41.8781 N,87.6298 W,2017,1673
Entertainment,Chicago,41.8781 N,87.6298 W,2017,3328
Food away from home,Chicago,41.8781 N,87.6298 W,2017,3652
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2017,954
Healthcare,Chicago,41.8781 N,87.6298 W,2017,5154
Housing,Chicago,41.8781 N,87.6298 W,2017,21254
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2017,977
Miscellaneous,Chicago,41.8781 N,87.6298 W,2017,1034
Other food at home,Chicago,41.8781 N,87.6298 W,2017,1595
Personal care products and services,Chicago,41.8781 N,87.6298 W,2017,958
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2017,6768
Reading,Chicago,41.8781 N,87.6298 W,2017,129
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2017,216
Transportation,Chicago,41.8781 N,87.6298 W,2017,7717
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2018,657
Apparel and services,Chicago,41.8781 N,87.6298 W,2018,2017
Cash contributions,Chicago,41.8781 N,87.6298 W,2018,1597
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2018,575
Dairy products,Chicago,41.8781 N,87.6298 W,2018,467
Education,Chicago,41.8781 N,87.6298 W,2018,1968
Entertainment,Chicago,41.8781 N,87.6298 W,2018,2863
Food away from home,Chicago,41.8781 N,87.6298 W,2018,3720
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2018,983
Healthcare,Chicago,41.8781 N,87.6298 W,2018,5476
Housing,Chicago,41.8781 N,87.6298 W,2018,22501
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2018,1070
Miscellaneous,Chicago,41.8781 N,87.6298 W,2018,1003
Other food at home,Chicago,41.8781 N,87.6298 W,2018,1666
Personal care products and services,Chicago,41.8781 N,87.6298 W,2018,1056
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2018,7322
Reading,Chicago,41.8781 N,87.6298 W,2018,156
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2018,186
Transportation,Chicago,41.8781 N,87.6298 W,2018,8443
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2019,653
Apparel and services,Chicago,41.8781 N,87.6298 W,2019,1873
Cash contributions,Chicago,41.8781 N,87.6298 W,2019,1246
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2019,653
Dairy products,Chicago,41.8781 N,87.6298 W,2019,489
Education,Chicago,41.8781 N,87.6298 W,2019,1711
Entertainment,Chicago,41.8781 N,87.6298 W,2019,2796
Food away from home,Chicago,41.8781 N,87.6298 W,2019,3822
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2019,1071
Healthcare,Chicago,41.8781 N,87.6298 W,2019,5504
Housing,Chicago,41.8781 N,87.6298 W,2019,23677
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2019,1079
Miscellaneous,Chicago,41.8781 N,87.6298 W,2019,609
Other food at home,Chicago,41.8781 N,87.6298 W,2019,1777
Personal care products and services,Chicago,41.8781 N,87.6298 W,2019,871
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2019,7520
Reading,Chicago,41.8781 N,87.6298 W,2019,110
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2019,258
Transportation,Chicago,41.8781 N,87.6298 W,2019,9084
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2020,504
Apparel and services,Chicago,41.8781 N,87.6298 W,2020,1755
Cash contributions,Chicago,41.8781 N,87.6298 W,2020,1172
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2020,724
Dairy products,Chicago,41.8781 N,87.6298 W,2020,504
Education,Chicago,41.8781 N,87.6298 W,2020,1459
Entertainment,Chicago,41.8781 N,87.6298 W,2020,2647
Food away from home,Chicago,41.8781 N,87.6298 W,2020,3108
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2020,1140
Healthcare,Chicago,41.8781 N,87.6298 W,2020,5628
Housing,Chicago,41.8781 N,87.6298 W,2020,23757
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2020,1155
Miscellaneous,Chicago,41.8781 N,87.6298 W,2020,594
Other food at home,Chicago,41.8781 N,87.6298 W,2020,2119
Personal care products and services,Chicago,41.8781 N,87.6298 W,2020,803
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2020,6984
Reading,Chicago,41.8781 N,87.6298 W,2020,88
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2020,259
Transportation,Chicago,41.8781 N,87.6298 W,2020,8852
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2021,589
Apparel and services,Chicago,41.8781 N,87.6298 W,2021,2198
Cash contributions,Chicago,41.8781 N,87.6298 W,2021,1195
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2021,712
Dairy products,Chicago,41.8781 N,87.6298 W,2021,460
Education,Chicago,41.8781 N,87.6298 W,2021,1566
Entertainment,Chicago,41.8781 N,87.6298 W,2021,2981
Food away from home,Chicago,41.8781 N,87.6298 W,2021,3036
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2021,1107
Healthcare,Chicago,41.8781 N,87.6298 W,2021,5768
Housing,Chicago,41.8781 N,87.6298 W,2021,24941
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2021,1188
Miscellaneous,Chicago,41.8781 N,87.6298 W,2021,810
Other food at home,Chicago,41.8781 N,87.6298 W,2021,2174
Personal care products and services,Chicago,41.8781 N,87.6298 W,2021,887
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2021,7595
Reading,Chicago,41.8781 N,87.6298 W,2021,107
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2021,333
Transportation,Chicago,41.8781 N,87.6298 W,2021,9255
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2022,907
Apparel and services,Chicago,41.8781 N,87.6298 W,2022,2534
Cash contributions,Chicago,41.8781 N,87.6298 W,2022,1474
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2022,719
Dairy products,Chicago,41.8781 N,87.6298 W,2022,492
Education,Chicago,41.8781 N,87.6298 W,2022,1686
Entertainment,Chicago,41.8781 N,87.6298 W,2022,3624
Food away from home,Chicago,41.8781 N,87.6298 W,2022,3741
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2022,1115
Healthcare,Chicago,41.8781 N,87.6298 W,2022,5946
Housing,Chicago,41.8781 N,87.6298 W,2022,27212
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2022,1269
Miscellaneous,Chicago,41.8781 N,87.6298 W,2022,998
Other food at home,Chicago,41.8781 N,87.6298 W,2022,2035
Personal care products and services,Chicago,41.8781 N,87.6298 W,2022,1059
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2022,9319
Reading,Chicago,41.8781 N,87.6298 W,2022,125
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2022,441
Transportation,Chicago,41.8781 N,87.6298 W,2022,9569
